university,sex,age,address,motherEducation,fatherEducation,reason,travelTime,studyTime,failures,universitySupport,paid,higher,internet,romantic,freeTime,goOut,Dalc,Walc,absences,EPSGrade,DSGrade,finalGrade,original_reason
PR,F,15,U,4,4,course,1,1,0,yes,yes,yes,yes,no,3,4,2,3,0,8,10,11,course
PR,F,15,U,3,3,home,1,1,0,no,yes,yes,yes,no,3,4,4,4,6,10,13,13,other
PR,F,16,U,2,1,home,1,2,0,no,yes,yes,yes,yes,3,4,1,1,8,8,9,10,other
PR,F,15,U,4,3,reputation,1,2,0,no,yes,yes,yes,no,3,2,1,1,0,14,15,15,reputation
PR,M,15,U,4,4,reputation,1,2,0,no,no,yes,no,no,2,2,1,1,4,14,15,15,reputation
PR,M,15,U,1,2,home,1,2,0,yes,no,yes,yes,no,3,2,1,1,2,9,10,9,home
PR,F,16,U,4,2,course,1,2,0,no,no,yes,yes,no,2,3,1,1,2,15,16,16,course
PR,F,16,R,4,4,home,1,2,0,no,no,yes,no,no,4,4,2,3,6,10,11,11,other
PR,F,16,U,1,1,course,4,1,0,yes,no,yes,yes,yes,5,5,5,5,6,10,8,11,course
PR,F,16,U,1,2,reputation,1,2,0,yes,no,yes,yes,no,4,3,1,1,4,8,10,9,reputation
PR,F,16,U,4,3,home,1,3,0,yes,yes,yes,yes,no,4,4,2,4,2,10,9,9,home
PR,F,15,U,4,3,reputation,1,2,0,yes,no,yes,yes,yes,4,4,2,4,0,10,10,10,reputation
PR,F,16,U,4,3,course,3,2,0,no,no,yes,yes,no,4,3,1,2,2,16,15,15,course
PR,M,15,U,4,4,reputation,1,4,0,no,no,yes,yes,yes,3,3,5,5,4,13,13,12,reputation
PR,F,16,U,3,1,course,1,4,0,yes,yes,yes,yes,no,3,3,1,2,4,7,7,6,course
PR,F,15,R,2,2,reputation,2,2,0,yes,yes,yes,yes,no,1,3,1,3,2,8,9,8,reputation
PR,F,15,R,3,1,reputation,2,4,0,no,no,yes,yes,no,4,2,2,3,12,16,16,16,reputation
PR,M,16,U,3,1,reputation,2,4,0,no,yes,yes,yes,no,3,2,1,1,0,13,15,15,reputation
PR,M,15,U,4,2,course,1,4,0,no,no,yes,yes,no,3,3,1,1,0,10,10,10,course
PR,F,15,R,1,1,reputation,1,2,2,yes,no,yes,yes,yes,3,4,2,4,2,8,6,5,reputation
PR,M,16,U,3,1,reputation,1,1,0,no,no,yes,no,no,3,2,2,2,2,12,12,14,reputation
PR,F,16,U,3,3,home,1,2,0,yes,yes,yes,yes,no,3,3,2,4,54,11,12,11,home
PR,M,15,U,4,3,home,1,2,0,no,yes,yes,yes,no,3,3,2,3,6,9,9,10,home
PR,M,15,U,4,0,course,2,4,0,no,no,yes,yes,no,4,3,1,1,8,11,11,10,course
PR,F,16,U,2,2,reputation,1,4,0,no,yes,yes,yes,yes,2,3,1,3,0,11,11,11,reputation
PR,M,17,U,2,1,home,2,1,3,yes,no,no,yes,no,5,1,1,1,2,8,8,10,home
PR,F,16,U,3,4,course,1,2,0,no,no,yes,yes,no,4,3,1,2,12,5,5,5,course
PR,M,15,U,2,3,course,1,1,0,yes,yes,yes,yes,yes,2,2,1,3,2,10,12,12,course
PR,M,15,U,2,3,home,1,3,0,yes,yes,yes,yes,no,3,2,1,2,4,11,10,11,home
PR,F,15,U,3,2,reputation,1,2,0,no,yes,yes,yes,no,4,4,1,1,10,7,6,6,reputation
PR,M,15,U,2,2,home,2,2,0,no,yes,yes,yes,no,3,3,1,3,4,15,15,15,home
PR,F,15,U,1,1,home,1,2,0,no,no,yes,yes,no,3,2,2,3,2,9,10,10,home
PR,F,15,U,4,4,reputation,2,2,2,no,yes,yes,yes,yes,4,4,2,3,6,7,9,8,reputation
PR,F,16,U,2,2,course,1,2,0,no,no,yes,no,no,3,4,1,2,4,8,7,6,course
PR,F,15,U,4,2,reputation,1,3,0,no,no,yes,yes,no,3,3,1,3,4,13,14,14,reputation
PR,M,16,U,2,2,reputation,2,2,1,no,yes,yes,yes,no,4,2,1,1,12,11,10,10,reputation
PR,M,16,U,4,4,reputation,1,2,0,no,no,yes,no,no,1,3,3,5,18,8,6,7,reputation
PR,F,16,U,3,3,home,1,3,0,no,yes,yes,yes,yes,3,3,1,3,0,7,7,8,home
PR,F,15,U,4,3,reputation,1,1,0,no,yes,yes,yes,no,5,5,1,3,4,16,17,18,reputation
PR,F,16,U,3,1,home,1,2,0,yes,no,yes,no,no,3,3,2,3,4,7,6,6,home
PR,F,16,U,4,2,home,2,2,0,no,yes,yes,yes,no,3,3,1,1,0,11,10,10,home
PR,M,15,U,2,2,reputation,1,4,0,no,no,yes,yes,no,3,4,1,1,6,11,13,14,reputation
PR,F,15,R,1,1,home,2,4,1,yes,yes,yes,yes,no,1,2,1,1,2,7,10,10,home
PR,M,16,R,4,3,reputation,2,1,0,yes,no,yes,yes,no,3,3,1,1,2,11,15,15,reputation
PR,F,16,U,2,1,course,1,2,0,no,yes,yes,no,yes,3,5,1,1,2,8,9,10,course
PR,F,16,U,4,4,reputation,1,1,0,no,no,yes,yes,no,3,4,1,2,6,11,14,14,reputation
PR,F,16,U,4,3,course,1,3,0,yes,yes,yes,yes,no,3,5,1,1,0,7,9,8,course
PR,M,16,U,4,4,home,1,1,0,yes,yes,yes,yes,no,5,5,5,5,14,7,7,5,other
PR,M,16,U,4,4,home,1,3,0,no,no,yes,yes,yes,4,3,1,1,0,16,17,17,other
PR,M,15,U,4,4,course,1,1,0,no,no,yes,yes,no,3,3,1,1,4,10,13,14,course
PR,F,15,U,3,2,home,2,2,0,yes,yes,yes,yes,no,3,5,1,1,26,7,6,6,home
PR,M,15,U,3,4,course,1,2,0,no,yes,yes,yes,no,4,4,1,1,0,16,18,18,course
PR,F,15,U,3,3,reputation,1,4,0,yes,no,yes,no,no,3,3,1,1,10,10,11,11,reputation
PR,F,15,U,2,2,course,1,4,0,yes,yes,yes,yes,no,1,2,1,1,8,7,8,8,course
PR,M,16,U,3,3,home,1,3,0,no,no,yes,yes,no,3,3,1,1,2,16,18,18,home
PR,M,15,R,4,4,home,4,4,0,no,yes,yes,yes,yes,3,5,3,5,6,10,13,13,home
PR,F,16,U,4,4,home,1,3,0,no,yes,yes,yes,yes,4,5,1,1,4,14,15,16,other
PR,M,15,U,4,4,course,1,1,0,no,no,yes,yes,no,5,3,1,1,6,18,19,19,course
PR,F,16,R,3,3,reputation,1,3,1,yes,no,yes,yes,no,1,2,1,1,0,7,10,10,reputation
PR,F,16,U,2,2,home,1,2,1,yes,no,yes,yes,no,1,2,1,1,6,10,13,13,home
PR,M,15,U,4,2,course,1,1,0,no,no,yes,yes,no,5,2,1,1,10,18,19,19,course
PR,M,15,R,2,1,reputation,1,2,0,no,no,yes,yes,yes,4,2,1,1,8,9,9,9,reputation
PR,M,16,U,4,4,course,1,2,0,no,no,yes,yes,no,4,4,1,2,2,15,15,16,course
PR,M,15,U,4,4,reputation,2,2,0,no,no,yes,no,no,4,3,1,1,2,11,13,14,reputation
PR,M,16,U,3,3,home,2,1,0,no,no,yes,yes,no,4,2,1,1,0,13,14,13,home
PR,M,17,R,1,3,course,3,2,1,no,no,yes,yes,no,2,4,1,4,20,9,7,8,course
PR,M,15,U,3,4,reputation,1,1,0,no,no,yes,yes,no,4,3,1,2,6,14,13,13,reputation
PR,F,15,U,1,2,course,1,2,0,no,no,yes,yes,no,2,3,1,2,2,16,15,15,course
PR,M,15,U,2,2,home,1,4,0,no,yes,yes,yes,no,5,4,1,2,6,16,14,15,home
PR,F,16,U,2,4,course,2,2,0,no,yes,yes,yes,yes,2,2,1,2,2,13,13,13,course
PR,M,16,U,4,4,course,1,1,0,no,no,yes,yes,no,4,4,1,4,18,14,11,13,course
PR,F,16,U,2,2,home,1,2,0,no,yes,yes,yes,yes,4,4,1,1,0,8,7,8,home
PR,M,15,U,3,4,home,1,1,0,yes,no,yes,yes,no,5,5,3,2,0,13,13,12,home
PR,F,15,U,3,4,home,1,2,0,yes,no,yes,yes,yes,3,2,1,1,0,7,10,11,home
PR,F,19,U,0,1,course,1,2,3,no,no,no,no,no,4,2,1,1,2,7,8,9,course
PR,M,18,R,2,2,reputation,1,1,2,no,no,yes,yes,no,3,3,1,2,0,7,4,0,reputation
PR,M,16,R,4,4,course,1,1,0,no,yes,yes,yes,no,5,5,2,5,8,18,18,18,course
PR,F,15,R,3,4,course,2,3,2,no,no,yes,yes,yes,2,2,2,2,0,12,0,0,course
PR,F,15,U,1,1,course,3,1,0,no,no,yes,yes,yes,3,3,1,2,0,8,0,0,course
PR,F,17,U,2,2,course,1,1,0,no,no,yes,yes,yes,4,4,1,3,12,10,13,12,course
PR,F,16,U,3,4,course,1,1,0,no,no,yes,yes,no,2,1,1,4,16,12,11,11,course
PR,M,15,R,3,4,course,4,2,0,no,no,yes,no,yes,3,3,1,1,0,9,0,0,course
PR,F,15,U,4,4,course,1,3,0,no,no,yes,yes,yes,3,3,1,1,0,11,0,0,course
PR,M,17,R,3,4,course,3,2,0,no,no,yes,no,no,4,5,2,4,0,10,0,0,course
PR,F,16,U,3,3,course,2,1,2,no,no,yes,yes,yes,3,2,1,1,0,4,0,0,course
PR,M,16,U,1,1,course,1,2,1,no,no,yes,no,yes,4,4,1,3,0,14,12,12,course
PR,F,15,U,4,4,course,2,1,0,no,no,yes,yes,no,3,2,1,1,0,16,16,15,course
PR,M,15,U,4,3,course,2,4,0,yes,no,yes,yes,no,2,2,1,1,0,7,9,0,course
PR,M,16,U,2,2,reputation,2,1,2,no,no,yes,yes,no,3,3,2,2,8,9,9,9,reputation
PR,F,15,U,4,4,course,1,3,0,no,yes,yes,yes,no,2,2,1,1,2,9,11,11,course
PR,F,16,U,1,1,course,1,1,0,no,no,yes,yes,no,4,4,3,3,2,14,14,13,course
PR,M,17,U,2,1,home,1,1,3,no,no,yes,yes,no,4,5,1,2,0,5,0,0,home
PR,F,15,U,1,1,course,1,2,0,no,yes,yes,yes,no,4,2,1,2,0,8,11,11,course
PR,F,15,U,3,2,home,1,2,3,no,no,yes,yes,no,3,2,1,1,0,6,7,0,home
PR,F,15,U,1,2,course,1,2,0,no,yes,yes,yes,no,3,2,1,1,2,10,11,11,course
PR,M,16,U,4,4,course,1,1,0,no,no,no,yes,yes,3,2,2,1,0,7,6,0,course
PR,M,15,U,2,1,course,4,1,3,no,no,yes,yes,no,5,5,2,5,0,8,9,10,course
PR,M,18,U,1,1,course,1,1,3,no,no,no,yes,yes,3,5,2,5,0,6,5,0,course
PR,M,16,U,2,1,course,1,1,1,no,no,yes,no,yes,4,4,3,5,6,12,13,14,course
PR,F,15,R,3,3,reputation,2,3,2,no,yes,yes,yes,yes,2,1,2,3,8,10,10,10,reputation
PR,M,19,U,3,2,home,1,1,3,no,no,no,yes,yes,5,4,1,1,0,5,0,0,home
PR,F,17,U,4,4,course,1,1,0,yes,no,yes,no,yes,2,1,1,1,0,11,11,12,course
PR,M,15,R,2,3,course,1,2,0,yes,yes,yes,no,no,4,4,1,1,2,11,8,8,course
PR,M,17,R,1,2,reputation,1,1,0,no,no,yes,no,no,2,2,3,3,8,16,12,13,reputation
PR,F,18,R,1,1,course,3,1,3,no,no,yes,no,no,2,5,1,5,6,9,8,10,course
PR,M,16,R,2,2,course,3,1,0,no,no,yes,no,no,2,2,1,2,2,17,15,15,course
PR,M,16,U,3,3,course,1,2,1,no,yes,yes,yes,yes,5,5,4,4,4,10,12,12,course
PR,M,17,R,2,1,course,2,1,2,no,no,no,yes,yes,3,2,2,2,0,7,6,0,course
PR,M,15,R,3,2,course,2,2,2,yes,no,yes,yes,yes,4,4,1,4,6,5,9,7,course
PR,M,16,U,1,2,course,2,1,1,no,no,yes,no,no,4,4,2,4,0,7,0,0,course
PR,M,17,U,1,3,course,1,1,0,no,no,no,yes,no,3,3,1,4,2,10,10,10,course
PR,M,17,R,1,1,course,4,2,3,no,no,no,no,yes,3,5,1,5,0,5,8,7,course
PR,M,16,U,3,2,course,2,1,1,no,no,no,no,no,5,2,1,1,16,12,11,12,course
PR,M,16,U,2,2,course,1,2,0,no,no,no,yes,no,3,5,2,4,4,10,10,10,course
PR,F,16,U,4,2,home,1,2,0,no,yes,yes,yes,yes,2,3,1,1,0,14,15,16,home
PR,F,16,U,2,2,home,1,2,0,no,yes,yes,yes,no,1,5,1,1,0,6,7,0,home
PR,F,16,U,4,4,reputation,1,2,0,no,yes,yes,yes,yes,4,2,1,1,0,14,14,14,reputation
PR,M,16,U,3,4,course,3,1,2,no,no,yes,yes,no,4,5,2,4,0,6,5,0,course
PR,M,16,U,1,0,reputation,2,2,0,no,yes,yes,yes,yes,3,2,1,1,2,13,15,16,reputation
PR,M,17,U,4,4,reputation,1,2,0,no,yes,yes,yes,no,4,4,1,3,0,13,11,10,reputation
PR,F,16,U,1,3,home,1,2,3,no,no,yes,yes,yes,3,5,1,1,0,8,7,0,home
PR,F,16,U,3,3,reputation,2,2,0,no,yes,yes,yes,no,4,5,1,1,4,10,11,9,reputation
PR,M,17,U,4,3,course,2,2,0,no,yes,yes,yes,no,4,4,4,4,4,10,9,9,course
PR,F,16,U,2,2,reputation,2,2,0,no,yes,yes,yes,no,4,4,1,4,2,13,13,11,reputation
PR,M,17,U,3,3,reputation,1,2,0,no,no,yes,yes,no,3,4,1,4,4,6,5,6,reputation
PR,M,16,R,4,2,home,1,1,0,no,no,yes,yes,yes,3,3,3,4,10,10,8,9,other
PR,M,17,U,4,3,course,1,2,0,no,no,yes,yes,yes,2,3,1,1,4,10,10,11,course
PR,M,16,U,4,3,home,1,2,0,no,yes,yes,yes,no,4,3,2,3,10,9,8,8,home
PR,M,16,U,3,3,home,1,2,0,no,yes,yes,yes,yes,2,3,1,2,2,12,13,12,home
PR,F,17,U,2,4,reputation,1,2,0,no,no,yes,no,no,4,2,2,3,0,16,17,17,reputation
PR,F,17,U,3,3,reputation,1,2,0,no,no,yes,yes,yes,3,3,2,3,56,9,9,8,reputation
PR,F,16,U,3,2,reputation,1,2,0,no,yes,yes,yes,no,2,2,1,2,14,12,13,12,reputation
PR,M,17,U,3,3,home,1,2,0,no,no,yes,yes,yes,3,4,2,3,12,12,12,11,other
PR,M,16,U,1,2,home,1,1,0,no,yes,yes,yes,yes,3,3,1,2,2,11,12,11,other
PR,M,16,U,2,1,course,1,2,0,no,yes,yes,yes,yes,2,3,1,2,0,15,15,15,course
PR,F,17,U,3,3,reputation,1,2,0,no,no,yes,yes,yes,3,3,1,3,6,8,7,9,reputation
PR,M,17,R,1,2,home,1,2,0,no,no,yes,no,no,1,3,1,5,4,8,9,10,home
PR,F,16,U,2,3,course,1,2,0,no,no,yes,yes,no,3,3,1,1,10,11,12,13,course
PR,F,17,U,1,1,course,1,2,0,no,no,yes,yes,no,3,3,1,1,0,8,8,9,course
PR,M,17,U,1,2,course,2,2,0,no,yes,yes,yes,no,4,4,4,5,12,7,8,8,other
PR,M,16,R,3,3,reputation,1,1,0,no,no,yes,yes,no,3,2,3,4,8,8,9,10,reputation
PR,M,16,U,2,3,home,2,1,0,no,no,yes,yes,no,3,3,1,1,0,13,14,14,home
PR,F,17,U,2,4,course,1,2,0,no,no,yes,yes,yes,3,2,1,1,0,14,15,15,course
PR,M,17,U,4,4,home,1,1,0,no,no,yes,yes,no,2,3,1,2,4,17,15,16,home
PR,M,16,R,3,3,home,3,1,0,no,yes,yes,yes,no,3,4,3,5,8,9,9,10,home
PR,F,17,U,4,4,home,2,1,1,no,no,yes,yes,no,2,4,2,3,24,18,18,18,home
PR,F,16,U,4,4,reputation,1,2,0,no,yes,yes,yes,no,5,2,1,2,0,9,9,10,reputation
PR,F,16,U,4,3,home,1,2,0,no,no,yes,yes,no,3,5,1,5,2,16,16,16,home
PR,F,16,U,2,3,reputation,1,2,0,yes,yes,yes,no,no,4,3,1,3,6,8,10,10,reputation
PR,F,17,U,1,1,course,1,2,0,no,yes,yes,no,no,4,4,1,3,4,9,9,10,course
PR,F,17,R,2,2,reputation,1,1,0,no,no,yes,yes,no,3,2,1,2,18,7,6,6,reputation
PR,F,16,R,2,2,reputation,2,4,0,no,yes,yes,yes,no,3,5,1,1,6,10,10,11,reputation
PR,F,17,U,3,4,home,1,3,1,no,yes,yes,yes,yes,4,3,3,4,28,10,9,9,home
PR,F,16,U,3,1,course,1,2,3,no,yes,yes,yes,no,3,3,2,2,5,7,7,7,course
PR,F,16,U,4,3,home,1,2,0,no,yes,yes,yes,yes,3,2,1,1,10,11,12,13,other
PR,F,16,U,1,1,home,2,1,0,no,yes,yes,no,no,3,2,1,4,6,9,9,10,home
PR,F,17,R,4,3,reputation,2,3,0,no,yes,yes,yes,yes,4,2,1,1,6,7,7,7,reputation
PR,F,19,U,3,3,reputation,1,4,0,no,yes,yes,yes,no,3,3,1,2,10,8,8,8,reputation
PR,M,17,U,4,4,home,1,2,0,no,yes,yes,yes,yes,3,5,4,5,13,12,12,13,home
PR,F,16,U,2,2,reputation,1,2,0,yes,yes,yes,yes,no,3,4,1,1,0,12,13,14,reputation
PR,M,18,U,2,2,home,1,2,1,no,yes,yes,yes,no,4,4,2,4,15,6,7,8,home
PR,F,17,R,4,4,home,1,1,0,no,yes,yes,no,no,2,1,1,2,12,8,10,10,other
PR,F,17,U,3,2,reputation,2,2,0,no,yes,yes,yes,no,4,4,1,3,2,14,15,15,reputation
PR,F,17,U,4,3,reputation,1,2,2,no,yes,yes,yes,yes,4,5,2,4,22,6,6,4,reputation
PR,M,18,U,3,3,home,1,2,1,no,yes,yes,yes,no,2,4,2,4,13,6,6,8,home
PR,F,17,U,2,3,home,2,1,0,no,yes,yes,no,no,3,3,1,4,3,7,7,8,home
PR,F,17,U,2,2,course,1,3,0,no,yes,yes,yes,no,3,3,1,1,4,9,10,10,course
PR,F,17,R,2,1,reputation,2,2,0,no,no,yes,yes,no,2,5,1,2,2,6,6,6,reputation
PR,F,17,U,1,1,reputation,1,3,1,no,no,yes,no,yes,3,4,1,1,0,6,5,0,reputation
PR,F,16,U,2,3,home,1,2,0,yes,no,yes,yes,no,3,1,1,1,2,16,16,17,other
PR,M,18,U,2,2,home,2,2,0,no,yes,yes,yes,no,3,3,5,5,0,12,13,13,home
PR,F,16,U,4,4,home,1,3,0,no,no,yes,yes,no,3,2,1,1,0,13,13,14,home
PR,F,18,R,3,1,reputation,1,2,1,no,no,yes,yes,yes,3,3,1,1,16,9,8,7,reputation
PR,F,17,U,3,2,course,1,2,0,no,no,yes,yes,no,3,4,1,3,10,16,15,15,course
PR,M,17,U,2,3,reputation,1,2,0,no,yes,yes,yes,no,3,3,1,3,2,12,11,12,reputation
PR,M,18,U,2,1,course,4,2,0,yes,yes,yes,yes,yes,3,2,4,5,14,10,8,9,course
PR,F,17,U,2,1,course,2,3,0,no,no,yes,yes,yes,2,3,1,2,10,12,10,12,course
PR,F,17,U,4,3,reputation,1,2,0,no,no,yes,yes,yes,2,3,1,2,14,13,13,14,reputation
PR,M,17,R,2,2,course,2,2,0,no,yes,yes,yes,no,5,2,1,1,4,11,11,11,course
PR,M,17,U,4,4,reputation,1,2,0,yes,no,yes,yes,yes,5,5,1,3,14,11,9,9,reputation
PR,M,16,U,4,4,reputation,1,2,0,no,yes,yes,yes,no,2,4,2,4,2,14,13,13,reputation
PR,M,16,U,1,1,home,2,2,0,no,yes,yes,yes,no,4,2,1,1,18,9,7,6,home
PR,M,16,U,3,2,reputation,2,3,0,no,no,yes,yes,yes,3,3,1,3,10,11,9,10,reputation
PR,M,17,U,2,2,home,1,2,0,no,yes,yes,yes,yes,4,2,5,5,4,14,13,13,home
PR,F,16,U,2,1,home,1,1,0,no,no,yes,yes,yes,5,2,1,1,20,13,12,12,home
PR,F,17,R,2,1,course,3,2,0,no,no,yes,no,no,1,1,1,1,2,13,11,11,course
PR,M,18,U,2,2,reputation,1,2,1,no,no,no,yes,no,5,4,3,5,0,7,7,0,reputation
PR,M,17,U,4,3,course,2,2,0,no,no,yes,yes,yes,5,5,1,4,14,12,12,12,course
PR,M,17,R,4,4,course,2,2,0,no,yes,yes,yes,no,3,3,2,3,2,10,11,12,course
PR,M,16,U,4,3,course,1,1,0,no,no,yes,yes,no,4,5,1,1,0,6,0,0,course
PR,M,16,U,4,4,course,1,1,0,no,no,yes,yes,no,3,2,1,2,0,13,12,12,course
PR,F,18,U,2,1,course,2,3,0,no,yes,yes,yes,yes,4,4,1,1,0,7,0,0,course
PR,M,16,U,2,1,course,3,1,0,no,no,yes,yes,no,3,3,1,1,6,18,18,18,course
PR,M,17,U,2,3,course,2,1,0,no,no,yes,yes,no,2,2,1,1,4,12,12,13,course
PR,M,22,U,3,1,home,1,1,3,no,no,no,yes,yes,4,5,5,5,16,6,8,8,other
PR,M,18,R,3,3,course,1,2,1,no,no,yes,yes,yes,3,3,1,3,8,3,5,5,course
PR,M,16,U,0,2,home,1,1,0,no,yes,yes,yes,no,3,2,2,4,0,13,15,15,other
PR,M,18,U,3,2,course,2,1,1,no,no,no,yes,no,4,5,2,4,0,6,8,8,course
PR,M,16,U,3,3,reputation,3,2,0,yes,no,yes,yes,no,3,3,1,3,6,7,10,10,reputation
PR,M,18,U,2,1,home,1,1,1,no,no,no,yes,no,2,5,2,5,4,6,9,8,other
PR,M,16,R,2,1,course,2,1,0,no,no,yes,no,no,3,2,1,3,0,8,9,8,course
PR,M,17,R,2,1,course,1,1,0,no,no,yes,yes,no,4,2,2,4,0,8,12,12,course
PR,M,17,U,1,1,course,2,1,1,no,no,yes,yes,no,4,4,1,2,2,7,9,8,course
PR,F,17,U,4,2,reputation,1,4,0,no,yes,yes,yes,no,2,3,1,1,6,14,12,13,reputation
PR,M,19,U,4,3,reputation,1,2,0,no,no,yes,yes,no,3,1,1,1,12,11,11,11,reputation
PR,M,18,U,2,1,home,1,2,0,no,no,yes,yes,no,2,4,1,2,8,15,14,14,home
PR,F,17,U,2,2,course,1,4,0,no,yes,yes,yes,yes,4,1,1,1,0,10,9,0,course
PR,F,18,U,4,3,home,1,2,0,no,yes,yes,yes,yes,1,2,1,3,21,17,18,18,home
